PlayerA,PlayerB,RankA,RankB,RankDiff,WinnerBinary
Lu Y.H.,Murray A.,76,2,74.0,0
Ferrer D.,Mahut N.,14,51,-37.0,0
Kuznetsov An.,Muller G.,42,39,3.0,1
Goffin D.,Roger-Vasselin E.,11,186,-175.0,1
Bellucci T.,Querrey S.,62,41,21.0,0
Raonic M.,Seppi A.,7,45,-38.0,1
Dolgopolov O.,Evans D.,33,91,-58.0,0
Federer R.,Willis M.,3,772,-769.0,1
Mathieu P.H.,Zverev A.,59,28,31.0,0
Mayer F.,Thiem D.,80,8,72.0,0
Sijsling I.,Vesely J.,118,64,54.0,0
Djokovic N.,Mannarino A.,1,55,-54.0,1
Albot R.,Elias G.,110,92,18.0,1
Berdych T.,Dodig I.,9,74,-65.0,1
Tomic B.,Verdasco F.,19,53,-34.0,1
Novikov D.,Saville L.,145,221,-76.0,1
Broady L.,Murray A.,235,2,233.0,0
Bautista Agut R.,Thompson J.,15,88,-73.0,1
Bagnis F.,Becker B.,96,102,-6.0,0
Kudryavtsev A.,Lu Y.H.,179,76,103.0,0
Lamasine T.,Troicki V.,204,27,177.0,0
Bedene A.,Gasquet R.,56,10,46.0,0
Lopez F.,Ram R.,21,72,-51.0,1
Klizan M.,Kukushkin M.,48,57,-9.0,0
Cervantes I.,Tsonga J.W.,75,12,63.0,0
Del Potro J.M.,Robert S.,165,79,86.0,1
Fritz T.,Wawrinka S.,65,5,60.0,0
Pospisil V.,Ramos-Vinolas A.,44,36,8.0,0
Kyrgios N.,Stepanek R.,18,121,-103.0,1
Estrella Burgos V.,Granollers M.,77,340,-263.0,0
Daniel T.,Monaco J.,114,97,17.0,0
Millman J.,Montanes A.,67,120,-53.0,1
Brown D.,Lajovic D.,85,82,3.0,1
Giraldo S.,Muller G.,129,39,90.0,0
Sousa J.,Tursunov D.,31,453,-422.0,1
Paire B.,Skugor F.,23,194,-171.0,1
Cuevas P.,Kuznetsov An.,24,42,-18.0,0
Berankis R.,Willis M.,54,772,-718.0,0
Gulbis E.,Sock J.,61,26,35.0,0
Dimitrov G.,Fratangelo B.,37,112,-75.0,1
Nishioka Y.,Stakhovsky S.,122,94,28.0,0
Ferrer D.,Sela D.,14,63,-49.0,1
Carreno Busta P.,Raonic M.,46,7,39.0,0
Klein B.,Mahut N.,260,51,209.0,0
Jaziri M.,Johnson S.,60,29,31.0,0
Baker B.,Cilic M.,589,13,576.0,0
Coric B.,Karlovic I.,50,32,18.0,0
Edmund K.,Mannarino A.,68,55,13.0,0
Goffin D.,Ward A.,11,245,-234.0,1
Federer R.,Pella G.,3,52,-49.0,1
Djokovic N.,Ward J.,1,177,-176.0,1
Groth S.,Nishikori K.,124,6,118.0,0
Benneteau J.,Marchenko I.,547,84,463.0,1
Gabashvili T.,Roger-Vasselin E.,103,186,-83.0,0
Herbert P.H.,Kohlschreiber P.,81,22,59.0,1
Lacko L.,Lorenzi P.,123,49,74.0,1
Simon G.,Tipsarevic J.,20,411,-391.0,1
Dolgopolov O.,Donskoy E.,33,78,-45.0,1
Evans D.,Struff J.L.,91,86,5.0,1
Garcia-Lopez G.,Seppi A.,58,45,13.0,0
Anderson K.,Istomin D.,25,116,-91.0,0
Chardy J.,Monfils G.,34,16,18.0,1
Dzumhur D.,Kudla D.,87,66,21.0,1
Almagro N.,Dutra Silva R.,47,386,-339.0,1
Bellucci T.,Bemelmans R.,62,193,-131.0,1
Haase R.,Schwartzman D.,98,71,27.0,1
Querrey S.,Rosol L.,41,73,-32.0,1
Djokovic N.,Federer R.,1,2,-1.0,1
Federer R.,Murray A.,2,3,-1.0,1
Djokovic N.,Gasquet R.,1,20,-19.0,1
Cilic M.,Djokovic N.,9,1,8.0,0
Gasquet R.,Wawrinka S.,20,4,16.0,1
Murray A.,Pospisil V.,3,56,-53.0,1
Federer R.,Simon G.,2,13,-11.0,1
Anderson K.,Djokovic N.,14,1,13.0,0
Cilic M.,Kudla D.,9,105,-96.0,1
Pospisil V.,Troicki V.,56,24,32.0,1
Bautista R.,Federer R.,22,2,20.0,0
Berdych T.,Simon G.,6,13,-7.0,0
Goffin D.,Wawrinka S.,15,4,11.0,0
Karlovic I.,Murray A.,25,3,22.0,0
Gasquet R.,Kyrgios N.,20,29,-9.0,1
Brown D.,Troicki V.,102,24,78.0,0
Basilashvili N.,Bautista R.,153,22,131.0,0
Murray A.,Seppi A.,3,27,-24.0,1
Federer R.,Groth S.,2,69,-67.0,1
Andujar P.,Berdych T.,37,6,31.0,0
Karlovic I.,Tsonga J.W.,25,12,13.0,1
Monfils G.,Simon G.,18,13,5.0,0
Cilic M.,Isner J.,9,17,-8.0,1
Pospisil V.,Ward J.,56,111,-55.0,1
Verdasco F.,Wawrinka S.,43,4,39.0,0
Djokovic N.,Tomic B.,1,26,-25.0,1
Dimitrov G.,Gasquet R.,11,20,-9.0,0
Baghdatis M.,Goffin D.,54,15,39.0,0
Anderson K.,Mayer L.,14,21,-7.0,1
Kyrgios N.,Raonic M.,29,8,21.0,1
Giraldo S.,Kudla D.,60,105,-45.0,0
Haase R.,Murray A.,78,3,75.0,0
Federer R.,Querrey S.,2,36,-34.0,1
Berdych T.,Mahut N.,6,66,-60.0,1
Ramos-Vinolas A.,Tsonga J.W.,65,12,53.0,0
Mannarino A.,Monfils G.,34,18,16.0,0
Duckworth J.,Groth S.,87,69,18.0,0
Brown D.,Nadal R.,102,10,92.0,1
Bedene A.,Troicki V.,75,24,51.0,0
Kavcic B.,Simon G.,107,13,94.0,0
Vesely J.,Ward J.,45,111,-66.0,0
Fognini F.,Pospisil V.,28,56,-28.0,0
Coric B.,Seppi A.,40,27,13.0,0
Andujar P.,Rosol L.,37,41,-4.0,1
Basilashvili N.,Lopez F.,153,16,137.0,1
Bautista R.,Paire B.,22,68,-46.0,1
Dolgopolov O.,Karlovic I.,70,25,45.0,0
Djokovic N.,Nieminen J.,1,92,-91.0,1
Kyrgios N.,Monaco J.,29,35,-6.0,1
Broady L.,Goffin D.,182,15,167.0,0
Granollers M.,Mayer L.,72,21,51.0,0
Ebden M.,Isner J.,148,17,131.0,0
Estrella Burgos V.,Wawrinka S.,48,4,44.0,0
Herbert P.H.,Tomic B.,151,26,125.0,0
Dimitrov G.,Johnson S.,11,52,-41.0,1
De Schepper K.,Gasquet R.,163,20,143.0,0
Giraldo S.,Nishikori K.,60,5,55.0,1
Anderson K.,Ilhan M.,14,82,-68.0,1
Kudla D.,Zverev A.,105,74,31.0,1
Haas T.,Raonic M.,861,8,853.0,0
Thiem D.,Verdasco F.,30,43,-13.0,0
Baghdatis M.,Millman J.,54,120,-66.0,1
Berankis R.,Cilic M.,90,9,81.0,0
Istomin D.,Ramos-Vinolas A.,62,65,-3.0,0
Falla A.,Haase R.,130,78,52.0,0
Berrer M.,Mannarino A.,139,34,105.0,0
Vanni L.,Ward J.,113,111,2.0,0
Brown D.,Lu Y.H.,102,61,41.0,1
Groth S.,Sock J.,69,31,38.0,1
Nedovyesov A.,Troicki V.,123,24,99.0,0
Krajinovic F.,Mahut N.,122,66,56.0,0
Berdych T.,Chardy J.,6,38,-32.0,1
Karlovic I.,Ymer E.,25,133,-108.0,1
Muller G.,Tsonga J.W.,44,12,32.0,0
Millot V.,Pospisil V.,213,56,157.0,0
Andujar P.,Garcia-Lopez G.,37,32,5.0,1
Bedene A.,Stepanek R.,75,203,-128.0,1
Coric B.,Stakhovsky S.,40,49,-9.0,1
Duckworth J.,Jaziri M.,87,84,3.0,1
Kukushkin M.,Murray A.,59,3,56.0,0
Dzumhur D.,Federer R.,88,2,86.0,0
Klein B.,Seppi A.,177,27,150.0,0
Paire B.,Youzhny M.,68,76,-8.0,1
Bellucci T.,Nadal R.,42,10,32.0,0
Fognini F.,Smyczek T.,28,77,-49.0,1
Querrey S.,Sijsling I.,36,170,-134.0,1
Dolgopolov O.,Edmund K.,70,101,-31.0,1
Darcis S.,Lopez F.,80,16,64.0,0
Lorenzi P.,Vesely J.,89,45,44.0,0
Bagnis F.,Basilashvili N.,137,153,-16.0,0
Almagro N.,Simon G.,145,13,132.0,0
Gulbis E.,Rosol L.,83,41,42.0,0
Carreno-Busta P.,Monfils G.,67,18,49.0,0
Kavcic B.,Sugita Y.,107,149,-42.0,1
Bautista R.,Bemelmans R.,22,95,-73.0,1
Ebden M.,Rola B.,148,93,55.0,1
Giraldo S.,Souza J.,60,81,-21.0,1
Millman J.,Robredo T.,120,19,101.0,1
Gasquet R.,Saville L.,20,183,-163.0,1
Delbonis F.,Dimitrov G.,73,11,62.0,0
Granollers M.,Tipsarevic J.,72,486,-414.0,1
Djokovic N.,Kohlschreiber P.,1,33,-32.0,1
Mayer F.,Monaco J.,294,35,259.0,0
Goffin D.,Zeballos H.,15,128,-113.0,1
Isner J.,Soeda G.,17,91,-74.0,1
Kokkinakis T.,Mayer L.,71,21,50.0,0
Sousa J.,Wawrinka S.,46,4,42.0,0
Cilic M.,Moriya H.,9,174,-165.0,1
Kyrgios N.,Schwartzman D.,29,64,-35.0,1
Berankis R.,Haider-Maurer A.,90,57,33.0,1
Becker B.,Estrella Burgos V.,51,48,3.0,0
Anderson K.,Pouille L.,14,96,-82.0,1
Ilhan M.,Janowicz J.,82,47,35.0,1
Baghdatis M.,Young D.,54,58,-4.0,1
Haas T.,Lajovic D.,861,86,775.0,1
Sela D.,Thiem D.,85,30,55.0,0
Gimeno-Traver D.,Raonic M.,63,8,55.0,0
Cuevas P.,Kudla D.,23,105,-82.0,0
Struff J.L.,Tomic B.,112,26,86.0,0
Bolelli S.,Nishikori K.,55,5,50.0,0
Johnson S.,Lacko L.,52,94,-42.0,1
De Schepper K.,Smith J.P.,163,160,3.0,1
Broady L.,Matosevic M.,182,138,44.0,1
Chung H.,Herbert P.H.,79,151,-72.0,0
Gabashvili T.,Zverev A.,53,74,-21.0,0
Klizan M.,Verdasco F.,39,43,-4.0,0
Hewitt L.,Nieminen J.,118,92,26.0,0
Djokovic N.,Federer R.,2,4,-2.0,1
Federer R.,Raonic M.,4,9,-5.0,1
Dimitrov G.,Djokovic N.,13,2,11.0,0
Cilic M.,Djokovic N.,29,2,27.0,0
Dimitrov G.,Murray A.,13,5,8.0,1
Federer R.,Wawrinka S.,4,3,1.0,1
Kyrgios N.,Raonic M.,144,9,135.0,0
Kyrgios N.,Nadal R.,144,1,143.0,1
Nishikori K.,Raonic M.,12,9,3.0,0
Federer R.,Robredo T.,4,22,-18.0,1
Lopez F.,Wawrinka S.,26,3,23.0,0
Dimitrov G.,Mayer L.,13,64,-51.0,1
Isner J.,Lopez F.,11,26,-15.0,0
Bolelli S.,Nishikori K.,132,12,120.0,0
Anderson K.,Murray A.,18,5,13.0,0
Istomin D.,Wawrinka S.,45,3,42.0,0
Djokovic N.,Tsonga J.W.,2,17,-15.0,1
Chardy J.,Cilic M.,42,29,13.0,0
Kyrgios N.,Vesely J.,144,68,76.0,1
Federer R.,Giraldo S.,4,35,-31.0,1
Kubot L.,Raonic M.,72,9,63.0,0
Kukushkin M.,Nadal R.,63,1,62.0,0
Janowicz J.,Robredo T.,25,22,3.0,0
Kuznetsov An.,Mayer L.,118,64,54.0,0
Djokovic N.,Simon G.,2,44,-42.0,1
Tsonga J.W.,Wang J.,17,147,-130.0,1
Berdych T.,Cilic M.,6,29,-23.0,0
Lopez F.,Pavic A.,26,163,-137.0,1
Bautista R.,Murray A.,23,5,18.0,0
Chardy J.,Stakhovsky S.,42,90,-48.0,1
Hewitt L.,Janowicz J.,48,25,23.0,0
Dimitrov G.,Dolgopolov O.,13,19,-6.0,1
Anderson K.,Fognini F.,18,15,3.0,1
Giraldo S.,Granollers M.,35,224,-189.0,1
Dancevic F.,Kukushkin M.,107,63,44.0,0
Raonic M.,Sock J.,9,77,-68.0,1
Kudla D.,Nishikori K.,136,12,124.0,0
Mannarino A.,Robredo T.,81,22,59.0,0
Istomin D.,Reister J.,45,110,-65.0,1
Isner J.,Nieminen J.,11,62,-51.0,1
Federer R.,Muller G.,4,103,-99.0,1
Nadal R.,Rosol L.,1,52,-51.0,1
Lu Y.H.,Wawrinka S.,47,3,44.0,0
Kubot L.,Lajovic D.,72,84,-12.0,1
Monfils G.,Vesely J.,21,68,-47.0,0
Bolelli S.,Kohlschreiber P.,132,28,104.0,1
Querrey S.,Tsonga J.W.,67,17,50.0,0
Gasquet R.,Kyrgios N.,14,144,-130.0,0
Bautista R.,Hernych J.,23,285,-262.0,1
Murray A.,Rola B.,5,92,-87.0,1
Gulbis E.,Stakhovsky S.,10,90,-80.0,0
Haase R.,Simon G.,53,44,9.0,0
Wang J.,Youzhny M.,147,16,131.0,1
Berdych T.,Tomic B.,6,86,-80.0,1
Cilic M.,Haider-Maurer A.,29,95,-66.0,1
Dimitrov G.,Saville L.,13,236,-223.0,1
Fognini F.,Puetz T.,15,251,-236.0,1
Becker B.,Dolgopolov O.,65,19,46.0,0
Anderson K.,Roger-Vasselin E.,18,50,-32.0,1
Baghdatis M.,Mayer L.,119,64,55.0,0
Djokovic N.,Stepanek R.,2,38,-36.0,1
Ferrer D.,Kuznetsov An.,7,118,-111.0,0
Chardy J.,Matosevic M.,42,58,-16.0,1
Kubot L.,Struff J.L.,72,66,6.0,1
Ebden M.,Raonic M.,85,9,76.0,0
Kukushkin M.,Sela D.,63,101,-38.0,1
Mannarino A.,Riba P.,81,82,-1.0,1
Kohlschreiber P.,Sijsling I.,28,59,-31.0,1
Sousa J.,Wawrinka S.,41,3,38.0,0
Federer R.,Lorenzi P.,4,83,-79.0,1
Falla A.,Pavic A.,55,163,-108.0,0
Isner J.,Smethurst D.,11,234,-223.0,1
Lopez F.,Sugita Y.,26,145,-119.0,1
Dancevic F.,Karlovic I.,107,32,75.0,1
Benneteau J.,Muller G.,46,103,-57.0,0
Delbonis F.,Nieminen J.,37,62,-25.0,0
De Schepper K.,Nishikori K.,73,12,61.0,0
Jaziri M.,Monfils G.,121,21,100.0,0
Gimeno-Traver D.,Giraldo S.,96,35,61.0,0
Estrella Burgos V.,Vesely J.,91,68,23.0,0
Klizan M.,Nadal R.,51,1,50.0,0
Herbert P.H.,Sock J.,130,77,53.0,0
Lacko L.,Robredo T.,88,22,66.0,0
Istomin D.,Tursunov D.,45,31,14.0,1
Paire B.,Rosol L.,71,52,19.0,0
Granollers M.,Mahut N.,224,54,170.0,1
Hewitt L.,Przysiezny M.,48,120,-72.0,1
Kyrgios N.,Robert S.,144,78,66.0,1
Klahn B.,Querrey S.,75,67,8.0,0
Ilhan M.,Kudla D.,151,136,15.0,0
Bolelli S.,Ito T.,132,129,3.0,1
Devvarman S.,Janowicz J.,125,25,100.0,0
Garcia-Lopez G.,Lajovic D.,34,84,-50.0,0
Melzer J.,Tsonga J.W.,49,17,32.0,0
Duckworth J.,Gasquet R.,161,14,147.0,0
Lu Y.H.,Nedovyesov A.,47,102,-55.0,1
Reister J.,Russell M.,110,94,16.0,1
Matosevic M.,Verdasco F.,58,24,34.0,1
Cuevas P.,Stepanek R.,112,38,74.0,0
Donskoy E.,Tomic B.,114,86,28.0,0
Becker B.,Young D.,65,69,-4.0,1
Berlocq C.,Stakhovsky S.,43,90,-47.0,0
Andujar P.,Rola B.,80,92,-12.0,0
Ward J.,Youzhny M.,154,16,138.0,0
Gonzalez A.,Wang J.,76,147,-71.0,0
Goffin D.,Murray A.,105,5,100.0,0
Dimitrov G.,Harrison R.,13,150,-137.0,1
Roger-Vasselin E.,Volandri F.,50,117,-67.0,1
Dolgopolov O.,Groth S.,19,124,-105.0,1
Edmund K.,Haider-Maurer A.,320,95,225.0,0
Kravchuk K.,Simon G.,221,44,177.0,0
Anderson K.,Bedene A.,18,140,-122.0,1
Gulbis E.,Zopp J.,10,272,-262.0,1
Haase R.,Pospisil V.,53,33,20.0,1
Cilic M.,Mathieu P.H.,29,89,-60.0,1
Carreno-Busta P.,Ferrer D.,60,7,53.0,0
Gabashvili T.,Puetz T.,61,251,-190.0,0
Saville L.,Thiem D.,236,57,179.0,1
Berdych T.,Hanescu V.,6,104,-98.0,1
Djokovic N.,Golubev A.,2,56,-54.0,1
Chardy J.,Cox D.,42,214,-172.0,1
Evans D.,Kuznetsov An.,143,118,25.0,0
Bautista R.,Johnson S.,23,70,-47.0,1
Baghdatis M.,Brown D.,119,79,40.0,1
Hernych J.,Kamke T.,285,87,198.0,1
Mayer L.,Seppi A.,64,36,28.0,1
Fognini F.,Kuznetsov Al.,15,148,-133.0,1
Djokovic N.,Murray A.,1,2,-1.0,0
Janowicz J.,Murray A.,22,2,20.0,0
Del Potro J.M.,Djokovic N.,8,1,7.0,0
Del Potro J.M.,Ferrer D.,8,4,4.0,1
Janowicz J.,Kubot L.,22,130,-108.0,1
Murray A.,Verdasco F.,2,54,-52.0,1
Berdych T.,Djokovic N.,6,1,5.0,0
Murray A.,Youzhny M.,2,26,-24.0,1
De Schepper K.,Verdasco F.,80,54,26.0,0
Djokovic N.,Haas T.,1,13,-12.0,1
Del Potro J.M.,Seppi A.,8,28,-20.0,1
Dodig I.,Ferrer D.,49,4,45.0,0
Berdych T.,Tomic B.,6,59,-53.0,1
Janowicz J.,Melzer J.,22,37,-15.0,1
Kubot L.,Mannarino A.,130,111,19.0,1
Dolgopolov O.,Ferrer D.,24,4,20.0,0
Chardy J.,Djokovic N.,25,1,24.0,0
Gulbis E.,Verdasco F.,39,54,-15.0,0
Troicki V.,Youzhny M.,44,26,18.0,0
Del Potro J.M.,Zemlja G.,8,55,-47.0,1
De Schepper K.,Monaco J.,80,20,60.0,1
Dodig I.,Sijsling I.,49,64,-15.0,1
Haas T.,Lopez F.,13,32,-19.0,1
Gasquet R.,Tomic B.,9,59,-50.0,0
Anderson K.,Berdych T.,23,6,17.0,0
Kubot L.,Paire B.,130,27,103.0,1
Nishikori K.,Seppi A.,11,28,-17.0,0
Dolgopolov O.,Giraldo S.,24,91,-67.0,1
Haas T.,Wang J.,13,151,-138.0,1
Murray A.,Robredo T.,2,29,-27.0,1
Almagro N.,Janowicz J.,16,22,-6.0,0
Brown D.,Mannarino A.,189,111,78.0,0
Melzer J.,Stakhovsky S.,37,116,-79.0,1
Bautista R.,Ferrer D.,60,4,56.0,0
Chardy J.,Struff J.L.,25,115,-90.0,1
Dimitrov G.,Zemlja G.,31,55,-24.0,0
Berdych T.,Brands D.,6,57,-51.0,1
Blake J.,Tomic B.,87,59,28.0,0
Djokovic N.,Reynolds B.,1,156,-155.0,1
Mayer L.,Nishikori K.,84,11,73.0,0
Raonic M.,Sijsling I.,15,64,-49.0,0
Dodig I.,Kudla D.,49,105,-56.0,1
Del Potro J.M.,Levine J.,8,112,-104.0,1
Anderson K.,Przysiezny M.,23,127,-104.0,1
Lopez F.,Mathieu P.H.,32,82,-50.0,1
Llodra M.,Seppi A.,53,28,25.0,0
Gasquet R.,Soeda G.,9,129,-120.0,1
Cilic M.,De Schepper K.,12,80,-68.0,0
Lu Y.H.,Murray A.,75,2,73.0,0
Mahut N.,Robredo T.,124,29,95.0,0
Benneteau J.,Verdasco F.,33,54,-21.0,0
Paire B.,Robert S.,27,165,-138.0,1
Janowicz J.,Stepanek R.,22,45,-23.0,1
Isner J.,Mannarino A.,21,111,-90.0,0
Kuznetsov An.,Troicki V.,78,44,34.0,0
Darcis S.,Kubot L.,135,130,5.0,0
Gulbis E.,Tsonga J.W.,39,7,32.0,1
Monaco J.,Ram R.,20,86,-66.0,1
Melzer J.,Reister J.,37,121,-84.0,1
Brown D.,Hewitt L.,189,70,119.0,1
Almagro N.,Rufin G.,16,85,-69.0,1
Pospisil V.,Youzhny M.,103,26,77.0,0
Federer R.,Stakhovsky S.,3,116,-113.0,0
Berdych T.,Klizan M.,6,36,-30.0,1
Bolelli S.,Dimitrov G.,89,31,58.0,0
Kavcic B.,Struff J.L.,132,115,17.0,0
Blake J.,De Bakker T.,87,93,-6.0,1
Bedene A.,Mayer L.,90,84,6.0,0
Anderson K.,Rochus O.,23,143,-120.0,1
Ebden M.,Nishikori K.,110,11,99.0,0
Bautista R.,Gabashvili T.,60,137,-77.0,1
Lopez F.,Simon G.,32,17,15.0,1
Llodra M.,Nieminen J.,53,38,15.0,1
Dolgopolov O.,Elias G.,24,122,-98.0,1
Petzschner P.,Przysiezny M.,141,127,14.0,0
Haider-Maurer A.,Soeda G.,108,129,-21.0,0
Djokovic N.,Mayer F.,1,34,-33.0,1
Haas T.,Tursunov D.,13,65,-52.0,1
Gasquet R.,Granollers M.,9,41,-32.0,1
Russell M.,Zemlja G.,95,55,40.0,0
Alund M.,Ferrer D.,101,4,97.0,0
Berankis R.,Mathieu P.H.,69,82,-13.0,0
Chardy J.,Harrison R.,25,97,-72.0,1
Johnson S.,Reynolds B.,98,156,-58.0,0
Istomin D.,Seppi A.,47,28,19.0,0
Duckworth J.,Kudla D.,174,105,69.0,0
Berlocq C.,Raonic M.,74,15,59.0,0
Querrey S.,Tomic B.,19,59,-40.0,0
Giraldo S.,Zeballos H.,91,52,39.0,1
Brands D.,Gimeno-Traver D.,57,56,1.0,1
Levine J.,Pella G.,112,76,36.0,1
Dodig I.,Kohlschreiber P.,49,18,31.0,1
Odesnik W.,Wang J.,107,151,-44.0,0
Del Potro J.M.,Ramos A.,8,62,-54.0,1
Kuznetsov Al.,Sijsling I.,173,64,109.0,0
Fognini F.,Melzer J.,30,37,-7.0,0
Reid M.,Stepanek R.,216,45,171.0,0
Andujar P.,Mannarino A.,50,111,-61.0,0
Knittel B.,Monaco J.,210,20,190.0,0
Edmund K.,Janowicz J.,385,22,363.0,0
Brown D.,Garcia-Lopez G.,189,67,122.0,1
Becker B.,Murray A.,92,2,90.0,0
Hajek J.,Mahut N.,96,124,-28.0,0
Bogomolov A.,Robredo T.,81,29,52.0,0
Dutra Silva R.,Stakhovsky S.,100,116,-16.0,0
Baghdatis M.,Cilic M.,40,12,28.0,0
Federer R.,Hanescu V.,3,48,-45.0,1
Tipsarevic J.,Troicki V.,14,44,-30.0,0
Gicquel M.,Pospisil V.,131,103,28.0,0
De Schepper K.,Lorenzi P.,80,73,7.0,1
Gulbis E.,Roger-Vasselin E.,39,71,-32.0,1
Goffin D.,Tsonga J.W.,83,7,76.0,0
Almagro N.,Zopp J.,16,183,-167.0,1
Darcis S.,Nadal R.,135,5,130.0,1
Falla A.,Robert S.,77,165,-88.0,0
Donskoy E.,Isner J.,66,21,45.0,0
Hewitt L.,Wawrinka S.,70,10,60.0,1
Andreev I.,Kubot L.,416,130,286.0,0
Haase R.,Youzhny M.,58,26,32.0,0
Lacko L.,Ram R.,79,86,-7.0,0
Malisse X.,Verdasco F.,61,54,7.0,0
Benneteau J.,Kamke T.,33,68,-35.0,1
Matosevic M.,Rufin G.,72,85,-13.0,0
Paire B.,Ungur A.,27,94,-67.0,1
Kuznetsov An.,Montanes A.,78,51,27.0,1
Lu Y.H.,Ward J.,75,219,-144.0,1
Reister J.,Rosol L.,121,35,86.0,1
Federer R.,Murray A.,3,4,-1.0,1
Djokovic N.,Federer R.,1,3,-2.0,0
Murray A.,Tsonga J.W.,4,6,-2.0,1
Ferrer D.,Murray A.,5,4,1.0,0
Djokovic N.,Mayer F.,1,29,-28.0,1
Federer R.,Youzhny M.,3,33,-30.0,1
Kohlschreiber P.,Tsonga J.W.,30,6,24.0,0
Cilic M.,Murray A.,18,4,14.0,0
Del Potro J.M.,Ferrer D.,9,5,4.0,0
Baker B.,Kohlschreiber P.,126,30,96.0,0
Fish M.,Tsonga J.W.,12,6,6.0,0
Gasquet R.,Mayer F.,19,29,-10.0,0
Istomin D.,Youzhny M.,39,33,6.0,0
Federer R.,Malisse X.,3,75,-72.0,1
Djokovic N.,Troicki V.,1,34,-33.0,1
Fish M.,Goffin D.,12,70,-58.0,1
Del Potro J.M.,Nishikori K.,9,20,-11.0,1
Ferrer D.,Roddick A.,5,25,-20.0,1
Baker B.,Paire B.,126,55,71.0,1
Baghdatis M.,Murray A.,42,4,38.0,0
Cilic M.,Querrey S.,18,64,-46.0,1
Lacko L.,Tsonga J.W.,60,6,54.0,0
Kohlschreiber P.,Rosol L.,30,100,-70.0,1
Querrey S.,Raonic M.,64,22,42.0,1
Monaco J.,Troicki V.,14,34,-20.0,0
Tipsarevic J.,Youzhny M.,8,33,-25.0,0
Djokovic N.,Stepanek R.,1,27,-26.0,1
Almagro N.,Gasquet R.,11,19,-8.0,0
Falla A.,Istomin D.,73,39,34.0,0
Benneteau J.,Federer R.,32,3,29.0,0
Malisse X.,Verdasco F.,75,16,59.0,1
Janowicz J.,Mayer F.,136,29,107.0,0
Nishikori K.,Serra F.,20,137,-117.0,1
Baker B.,Nieminen J.,126,44,82.0,1
Malisse X.,Simon G.,75,13,62.0,1
Cilic M.,Kubot L.,18,49,-31.0,1
Dolgopolov O.,Paire B.,21,55,-34.0,0
De Schepper K.,Ferrer D.,160,5,155.0,0
Jaziri M.,Kohlschreiber P.,78,30,48.0,0
Phau B.,Roddick A.,88,25,63.0,0
Becker B.,Stepanek R.,124,27,97.0,0
Baghdatis M.,Dimitrov G.,42,69,-27.0,1
Del Potro J.M.,Soeda G.,9,58,-49.0,1
Garcia-Lopez G.,Tsonga J.W.,92,6,86.0,0
Verdasco F.,Zemlja G.,16,120,-104.0,1
Goffin D.,Levine J.,70,106,-36.0,1
Karlovic I.,Murray A.,59,4,55.0,0
Nadal R.,Rosol L.,2,100,-98.0,0
Fish M.,Ward J.,12,173,-161.0,1
Lacko L.,Melzer J.,60,35,25.0,1
Falla A.,Mahut N.,73,71,2.0,1
Melzer J.,Wawrinka S.,35,24,11.0,1
Almagro N.,Rufin G.,11,168,-157.0,1
Andreev I.,Istomin D.,93,39,54.0,0
Sweeting R.,Tipsarevic J.,130,8,122.0,0
Chardy J.,Monaco J.,57,14,43.0,0
Benneteau J.,Russell M.,32,112,-80.0,1
Klizan M.,Troicki V.,62,34,28.0,0
Odesnik W.,Phau B.,135,88,47.0,0
Mayer F.,Petzschner P.,29,101,-72.0,1
Baker J.,Roddick A.,186,25,161.0,0
Gulbis E.,Janowicz J.,87,136,-49.0,0
Cervantes I.,Youzhny M.,152,33,119.0,0
Federer R.,Fognini F.,3,68,-65.0,1
Djokovic N.,Harrison R.,1,48,-47.0,1
Giraldo S.,Raonic M.,45,22,23.0,0
Bemelmans R.,Gasquet R.,131,19,112.0,0
Karlovic I.,Sela D.,59,108,-49.0,1
Ito T.,Kubot L.,65,49,16.0,0
Brown D.,Ferrer D.,164,5,159.0,0
Del Potro J.M.,Haase R.,9,41,-32.0,1
Andujar P.,Ward J.,36,173,-137.0,0
Haas T.,Kohlschreiber P.,50,30,20.0,0
Lorenzi P.,Mahut N.,86,71,15.0,0
Kuznetsov An.,Serra F.,151,137,14.0,0
Almagro N.,Rochus O.,11,66,-55.0,1
Jaziri M.,Zopp J.,78,95,-17.0,1
Garcia-Lopez G.,Roger-Vasselin E.,92,67,25.0,1
Kunitsyn I.,Soeda G.,116,58,58.0,0
Hewitt L.,Tsonga J.W.,202,6,196.0,0
Baghdatis M.,Montanes A.,42,90,-48.0,1
Bachinger M.,De Schepper K.,110,160,-50.0,0
Davydenko N.,Murray A.,47,4,43.0,0
Bogomolov A.,Dolgopolov O.,46,21,25.0,0
Lacko L.,Ungur A.,60,81,-21.0,1
Baker B.,Machado R.,126,96,30.0,1
Bellucci T.,Nadal R.,80,2,78.0,0
Kukushkin M.,Nishikori K.,52,20,32.0,0
Fish M.,Ramirez-Hidalgo R.,12,82,-70.0,1
Cilic M.,Stebe C.M.,18,77,-59.0,1
Pospisil V.,Querrey S.,104,64,40.0,0
Anderson K.,Dimitrov G.,31,69,-38.0,0
Beck K.,Levine J.,94,106,-12.0,0
Ebden M.,Paire B.,76,55,21.0,0
Lopez F.,Nieminen J.,17,44,-27.0,0
Goffin D.,Tomic B.,70,28,42.0,1
