PlayerA,PlayerB,RankA,RankB,WinnerBinary,MaxOddsPlayerA,MaxOddsPlayerB,AvgOddsPlayerA,AvgOddsPlayerB,H2H_A_wins,H2H_B_wins,H2H_Diff,WinsA,LossesA,WinsB,LossesB,WinRateA,WinRateB
Comesana F.,Musetti L.,122,25,0,5.8,1.18,5.27,1.16,0,1,-1,2,2,18,10,0.5,0.6428571428571429
Humbert U.,Nakashima B.,16,65,1,1.78,2.17,1.74,2.11,3,0,3,29,23,18,14,0.5576923076923077,0.5625
Medvedev D.,Struff J.L.,5,41,1,1.54,2.79,1.49,2.63,7,1,6,51,24,26,33,0.68,0.4406779661016949
Djokovic N.,Popyrin A.,2,47,1,1.17,7.14,1.13,6.19,3,1,2,117,18,7,16,0.8666666666666667,0.30434782608695654
De Minaur A.,Pouille L.,9,212,1,1.06,14.27,1.05,10.95,1,0,1,33,19,20,16,0.6346153846153846,0.5555555555555556
Fritz T.,Tabilo A.,12,19,1,1.21,5.47,1.18,4.99,4,0,4,41,24,8,6,0.6307692307692307,0.5714285714285714
Norrie C.,Zverev A.,42,4,0,6.75,1.14,6.19,1.13,0,5,-5,22,21,45,22,0.5116279069767442,0.6716417910447762
Alcaraz C.,Tiafoe F.,3,29,1,1.07,14.26,1.05,10.3,2,1,1,29,3,23,19,0.90625,0.5476190476190477
Dimitrov G.,Monfils G.,10,33,1,1.33,4.01,1.3,3.59,3,4,-1,46,32,46,36,0.5897435897435898,0.5609756097560976
Kecmanovic M.,Sinner J.,52,1,0,21.6,1.04,14.37,1.02,0,3,-3,15,19,22,10,0.4411764705882353,0.6875
Bublik A.,Paul T.,23,13,0,2.79,1.51,2.68,1.49,0,3,-3,38,19,24,13,0.6666666666666666,0.6486486486486487
Monfils G.,Wawrinka S.,33,95,1,1.4,3.22,1.36,3.11,4,3,1,46,36,34,33,0.5609756097560976,0.5074626865671642
Harris L.,Shelton B.,118,14,0,2.23,1.75,2.16,1.7,0,1,-1,8,10,8,10,0.4444444444444444,0.4444444444444444
Comesana F.,Walton A.,122,101,1,2.93,1.5,2.7,1.46,1,0,1,2,2,2,3,0.5,0.4
Halys Q.,Khachanov K.,220,22,1,2.8,1.56,2.6,1.5,1,0,1,8,8,28,17,0.5,0.6222222222222222
Cobolli F.,Tabilo A.,48,19,0,3.6,1.36,3.31,1.33,1,1,0,5,6,8,6,0.45454545454545453,0.5714285714285714
Etcheverry T.,Popyrin A.,31,47,0,2.31,1.7,2.22,1.66,0,1,-1,4,9,7,16,0.3076923076923077,0.30434782608695654
