PlayerA,PlayerB,RankA,RankB,WinnerBinary,MaxOddsPlayerA,MaxOddsPlayerB,AvgOddsPlayerA,AvgOddsPlayerB,H2H_A_wins,H2H_B_wins,H2H_Diff
Bautista Agut R.,Safiullin R.,23,92,0,1.36,3.85,1.3,3.58,1,1,0
Daniel T.,Shelton B.,106,36,0,3.2,1.46,2.97,1.4,1,2,-1
Coric B.,Pella G.,14,308,0,1.47,3.2,1.4,3.0,1,2,-1
Borges N.,Cerundolo F.,69,19,0,4.34,1.3,3.95,1.26,0,1,-1
Coria F.,Ivashka I.,104,102,0,8.5,1.13,7.3,1.1,0,1,-1
Albot R.,Shapovalov D.,107,29,0,4.54,1.27,4.24,1.23,1,2,-1
Korda S.,Vesely J.,25,528,0,1.13,8.0,1.11,6.91,0,1,-1
Muller A.,Rinderknech A.,84,82,1,4.38,1.27,4.11,1.24,1,0,1
Barrere G.,Harris L.,49,208,1,2.15,1.82,2.06,1.78,1,0,1
Novak D.,Raonic M.,159,849,0,2.0,2.02,1.89,1.93,0,2,-2
Eubanks C.,Monteiro T.,43,95,1,1.33,4.16,1.27,3.82,1,0,1
Cressy M.,Djere L.,58,60,0,1.71,2.35,1.65,2.25,1,2,-1
Fucsovics M.,Griekspoor T.,67,31,1,2.17,1.86,2.05,1.78,3,0,3
Mannarino A.,Shevchenko A.,35,97,1,1.25,5.0,1.21,4.41,1,0,1
Dimitrov G.,Shimabukuro S.,24,162,1,1.08,11.25,1.06,9.62,1,0,1
Lehecka J.,Ofner S.,37,72,1,1.69,2.47,1.63,2.29,1,0,1
Tiafoe F.,Wu Y.,10,62,1,1.21,5.55,1.19,4.78,1,0,1
Schwartzman D.,Sinner J.,98,8,0,13.38,1.07,10.44,1.05,0,4,-4
Dellien H.,Giron M.,171,65,0,18.4,1.06,13.74,1.03,0,1,-1
Loffhagen G.,Rune H.,371,6,0,14.0,1.06,10.7,1.05,0,1,-1
Mochizuki S.,Paul T.,212,15,0,7.2,1.19,5.8,1.14,0,1,-1
